
#####
##### SCREEN-RESOLUTIONS
#####

# 2015-09-04,2015-12-02
Item,Value,Value Percent,Conversions,Conversion Percent,URL,Stats URL
"1347x808",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1347x808"
"1829x1097",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1829x1097"
"2048x864",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2048x864"
"720x1184",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=720x1184"
"5464x3072",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=5464x3072"
"1280x798",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1280x798"
"1516x947",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1516x947"
"864x486",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=864x486"
"1249x702",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1249x702"
"480x320",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=480x320"
"1524x857",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1524x857"
"1219x762",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1219x762"
"1205x904",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1205x904"
"1280x854",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1280x854"
